RATE,Bankrate  Inc.,http://www.nasdaq.com/symbol/rate
BKU,BankUnited  Inc.,http://www.nasdaq.com/symbol/bku
BCS,Barclays PLC,http://www.nasdaq.com/symbol/bcs
BCS.PRA,Barclays PLC,http://www.nasdaq.com/symbol/bcs.pra
BCS.PRD,Barclays PLC,http://www.nasdaq.com/symbol/bcs.prd
MCI,Barings Corporate Investors,http://www.nasdaq.com/symbol/mci
MPV,Barings Participation Investors,http://www.nasdaq.com/symbol/mpv
BNED,Barnes & Noble Education  Inc,http://www.nasdaq.com/symbol/bned
BKS,Barnes & Noble  Inc.,http://www.nasdaq.com/symbol/bks
B,Barnes Group  Inc.,http://www.nasdaq.com/symbol/b
CUDA,Barracuda Networks  Inc.,http://www.nasdaq.com/symbol/cuda
ABX,Barrick Gold Corporation,http://www.nasdaq.com/symbol/abx
BAS,Basic Energy Services  Inc.,http://www.nasdaq.com/symbol/bas
BAX,Baxter International Inc.,http://www.nasdaq.com/symbol/bax
BTE,Baytex Energy Corp,http://www.nasdaq.com/symbol/bte
BBT,BB&T Corporation,http://www.nasdaq.com/symbol/bbt
BBT.PRD,BB&T Corporation,http://www.nasdaq.com/symbol/bbt.prd
BBT.PRE,BB&T Corporation,http://www.nasdaq.com/symbol/bbt.pre
BBT.PRF,BB&T Corporation,http://www.nasdaq.com/symbol/bbt.prf
BBT.PRG,BB&T Corporation,http://www.nasdaq.com/symbol/bbt.prg
BBT.PRH,BB&T Corporation,http://www.nasdaq.com/symbol/bbt.prh
BFR,BBVA Banco Frances S.A.,http://www.nasdaq.com/symbol/bfr
BBX,BBX Capital Corporation,http://www.nasdaq.com/symbol/bbx
BCE,BCE  Inc.,http://www.nasdaq.com/symbol/bce
BZH,Beazer Homes USA  Inc.,http://www.nasdaq.com/symbol/bzh
BDX,Becton  Dickinson and Company,http://www.nasdaq.com/symbol/bdx
BDC,Belden Inc,http://www.nasdaq.com/symbol/bdc
BDC.PRB,Belden Inc,http://www.nasdaq.com/symbol/bdc.prb
BXE,Bellatrix Exploration Ltd,http://www.nasdaq.com/symbol/bxe
BEL,Belmond Ltd.,http://www.nasdaq.com/symbol/bel
BMS,Bemis Company  Inc.,http://www.nasdaq.com/symbol/bms
BHE,Benchmark Electronics  Inc.,http://www.nasdaq.com/symbol/bhe
BHLB,Berkshire Hills Bancorp  Inc.,http://www.nasdaq.com/symbol/bhlb
